Participant,DateTime,Method,AppsNumber,Trial,Selection,Distance,SeenTimeMillis,SeekStartedTimeMillis,DataFoundTimeMillis,Rechecks,NrErrors
P1,41516.517430555556,Flipping,1,1,1,1,11316.0968,8656.0931,5716.089,2,0
P1,41516.517488425925,Flipping,1,1,2,1,4787.0528,3842.0515,3842.0515,0,0
P1,41516.517546296294,Flipping,1,1,3,1,4381.0403,3721.0394,3721.0394,2,0
P1,41516.517627314817,Flipping,1,2,1,1,7936.0533,7161.0523,3726.0474,0,0
P1,41516.517685185187,Flipping,1,2,2,1,4391.0486,3751.0477,3751.0477,0,0
P1,41516.517731481479,Flipping,1,2,3,1,4169.0468,3519.0459,3519.0459,0,0
P1,41516.517847222225,Flipping,1,3,1,3,9934.0668,9254.0659,4019.0586,0,0
P1,41516.517893518518,Flipping,1,3,2,3,4478.0366,3428.0351,3428.0351,0,0
P1,41516.517939814818,Flipping,1,3,3,3,4018.0482,3343.0473,3343.0473,0,0
P1,41516.518009259256,Flipping,1,4,1,0,5061.0479,4306.0468,3246.0454,0,0
P1,41516.518055555556,Flipping,1,4,2,0,3991.0444,3296.0434,3296.0434,0,0
P1,41516.518090277779,Flipping,1,4,3,0,3658.0404,3053.0395,3053.0395,0,0
P1,41516.518171296295,Flipping,1,5,1,1,7294.0479,6544.0468,4289.0436,0,0
P1,41516.518229166664,Flipping,1,5,2,1,4105.0356,3445.0347,3445.0347,0,0
P1,41516.518275462964,Flipping,1,5,3,1,4017.0467,3262.0457,3262.0457,0,0
P1,41516.518333333333,Flipping,1,6,1,0,5196.0447,4361.0435,3301.042,0,0
P1,41516.518379629626,Flipping,1,6,2,0,4213.0443,3573.0434,3573.0434,0,0
P1,41516.518425925926,Flipping,1,6,3,0,3985.0433,3355.0424,3355.0424,0,0
P1,41516.518703703703,Flipping,3,1,1,1,17857.068,17957.0682,3792.0484,2,0
P1,41516.518750000003,Flipping,3,1,2,1,4230.0481,3585.0472,3585.0472,0,0
P1,41516.518831018519,Flipping,3,1,3,1,6386.0938,5671.0928,5671.0928,0,0
P1,41516.518935185188,Flipping,3,2,1,3,8918.0581,7988.0568,3788.0509,0,0
P1,41516.519050925926,Flipping,3,2,2,3,10487.0614,9772.0604,9772.0604,1,0
P1,41516.519120370373,Flipping,3,2,3,3,5416.0431,3186.04,3186.04,0,0
P1,41516.519189814811,Flipping,3,3,1,1,6116.0479,5301.0468,3621.0444,0,0
P1,41516.519247685188,Flipping,3,3,2,1,5466.0538,4666.0526,4666.0526,0,0
P1,41516.51934027778,Flipping,3,3,3,0,7543.054,6808.053,6808.053,1,0
P1,41516.519432870373,Flipping,3,4,1,3,8259.0511,7469.05,3694.0447,0,0
P1,41516.519571759258,Flipping,3,4,2,0,12259.0986,11324.0973,11324.0973,2,0
P1,41516.519652777781,Flipping,3,4,3,3,7146.0505,6266.0493,3341.0452,0,0
P1,41516.519745370373,Flipping,3,5,1,3,7934.049,7104.0478,3889.0433,0,0
P1,41516.519803240742,Flipping,3,5,2,3,4237.0526,3337.0514,3337.0514,0,0
P1,41516.52003472222,Flipping,3,5,3,1,19933.126,11868.1147,11868.1147,5,0
P1,41516.520127314812,Flipping,3,6,1,2,8554.058,6024.0544,3604.051,0,0
P1,41516.520173611112,Flipping,3,6,2,2,4037.0429,3257.0418,3257.0418,0,0
P1,41516.520277777781,Flipping,3,6,3,2,9147.1195,8602.1188,8602.1188,1,0
P1,41516.52138888889,Flipping,2,1,1,0,18664.0696,80764.1565,3909.0489,5,0
P1,41516.521435185183,Flipping,2,1,2,0,4049.0433,3209.0421,3209.0421,0,0
P1,41516.521481481483,Flipping,2,1,3,0,3801.0428,3106.0418,3106.0418,0,0
P1,41516.521550925929,Flipping,2,2,1,2,6783.0523,6188.0515,3508.0477,0,0
P1,41516.521597222221,Flipping,2,2,2,2,3971.0436,3256.0426,3256.0426,0,0
P1,41516.521655092591,Flipping,2,2,3,2,4863.1021,4318.1014,4318.1014,0,0
P1,41516.521770833337,Flipping,2,3,1,2,9668.0578,8088.0556,3663.0494,1,0
P1,41516.521817129629,Flipping,2,3,2,2,4475.0464,3760.0454,3760.0454,0,0
P1,41516.521874999999,Flipping,2,3,3,2,4359.0423,3819.0415,3819.0415,0,0
P1,41516.521932870368,Flipping,2,4,1,0,5462.0445,4682.0435,3602.0419,0,0
P1,41516.522037037037,Flipping,2,4,2,3,8411.0518,7691.0508,7691.0508,1,0
P1,41516.522083333337,Flipping,2,4,3,3,4076.0448,3466.044,3466.044,0,0
P1,41516.522141203706,Flipping,2,5,1,1,5718.0472,4988.0462,3288.0438,0,0
P1,41516.522199074076,Flipping,2,5,2,1,4684.0579,3469.0562,3469.0562,0,0
P1,41516.522291666668,Flipping,2,5,3,3,8295.0509,7660.05,7660.05,1,0
P1,41516.52238425926,Flipping,2,6,1,2,7925.0544,7290.0535,3645.0484,1,0
P1,41516.522430555553,Flipping,2,6,2,2,3602.045,2992.0442,2992.0442,0,0
P1,41516.522465277776,Flipping,2,6,3,2,3553.0428,3143.0422,3143.0422,0,0
P2,41517.636446759258,Flipping,1,1,3,0,5872.0686,5162.0676,5162.0676,0,0
P2,41517.636550925927,Flipping,1,2,1,0,8414.0572,7574.056,6199.0541,0,0
P2,41517.636620370373,Flipping,1,2,2,0,6409.0708,4779.0685,4779.0685,0,0
P2,41517.636678240742,Flipping,1,2,3,0,4640.0484,3815.0472,3815.0472,0,0
P2,41517.636736111112,Flipping,1,3,1,0,5373.0498,4593.0487,3633.0474,0,0
P2,41517.637060185189,Flipping,1,3,3,0,5488.0469,4583.0456,4583.0456,0,0
P2,41517.637152777781,Flipping,1,4,1,3,7676.0697,7056.0688,4031.0646,1,0
P2,41517.637199074074,Flipping,1,4,2,3,4050.0433,3390.0424,3390.0424,0,0
P2,41517.637233796297,Flipping,1,4,3,3,3716.0424,3206.0417,3206.0417,0,0
P2,41517.637303240743,Flipping,1,5,1,2,5639.041,5049.0402,3314.0377,0,0
P2,41517.637349537035,Flipping,1,5,2,2,3863.0413,3403.0406,3403.0406,0,0
P2,41517.637395833335,Flipping,1,5,3,2,4449.062,3749.061,3749.061,0,0
P2,41517.637476851851,Flipping,1,6,1,3,6535.0488,5885.0479,3360.0443,0,0
P2,41517.63753472222,Flipping,1,6,2,3,5240.0673,4525.0663,4525.0663,0,0
P2,41517.63758101852,Flipping,1,6,3,3,4018.0443,3543.0436,3543.0436,0,0
P2,41517.63784722222,Flipping,3,1,1,3,10569.0524,21669.068,3614.0427,1,0
P2,41517.637939814813,Flipping,3,1,2,2,8005.0491,7470.0484,7470.0484,1,0
P2,41517.638067129628,Flipping,3,1,3,3,10741.0511,10111.0502,10111.0502,2,0
P2,41517.638136574074,Flipping,3,2,1,3,6405.048,6015.0475,3280.0436,0,0
P2,41517.638194444444,Flipping,3,2,2,3,4871.0429,3986.0416,3986.0416,0,0
P2,41517.638287037036,Flipping,3,2,3,0,8528.0514,7913.0505,7913.0505,1,0
P2,41517.638391203705,Flipping,3,3,1,2,8080.049,7490.0481,4685.0442,0,0
P2,41517.638483796298,Flipping,3,3,2,1,8643.0483,7733.047,7733.047,1,0
P2,41517.638645833336,Flipping,3,3,3,2,13333.1346,12663.1337,12663.1337,2,0
P2,41517.638715277775,Flipping,3,4,1,0,6578.0451,4743.0425,3803.0412,0,0
P2,41517.638807870368,Flipping,3,4,2,3,7862.0521,7402.0515,7402.0515,1,0
P2,41517.638877314814,Flipping,3,4,3,0,6476.0462,5876.0453,5876.0453,1,0
P2,41517.63894675926,Flipping,3,5,1,0,5813.0432,5288.0424,4388.0412,0,0
P2,41517.639050925929,Flipping,3,5,2,1,8967.0872,8452.0865,8452.0865,1,0
P2,41517.639131944445,Flipping,3,5,3,0,6438.0502,5788.0493,5788.0493,1,0
P2,41517.63925925926,Flipping,3,6,1,3,10914.052,10399.0513,4744.0434,1,0
P2,41517.639305555553,Flipping,3,6,2,3,4168.037,3663.0363,3663.0363,2,0
P2,41517.639340277776,Flipping,3,6,3,3,3707.0407,3167.0399,3167.0399,0,0
P2,41517.639479166668,Flipping,2,1,1,2,7467.0508,6107.0489,3652.0454,0,0
P2,41517.639537037037,Flipping,2,1,2,2,4294.0349,3599.034,3599.034,0,0
P2,41517.639641203707,Flipping,2,1,3,0,9018.053,8413.0521,8413.0521,1,0
P2,41517.639710648145,Flipping,2,2,1,0,6521.0812,5831.0802,4226.078,0,0
