Participant,Method,AppsNumber,Distance,NrErrors,aligned(NrErrors) for Method,aligned(NrErrors) for AppsNumber,aligned(NrErrors) for Method*AppsNumber,aligned(NrErrors) for Distance,aligned(NrErrors) for Method*Distance,aligned(NrErrors) for AppsNumber*Distance,aligned(NrErrors) for Method*AppsNumber*Distance,ART(NrErrors) for Method,ART(NrErrors) for AppsNumber,ART(NrErrors) for Method*AppsNumber,ART(NrErrors) for Distance,ART(NrErrors) for Method*Distance,ART(NrErrors) for AppsNumber*Distance,ART(NrErrors) for Method*AppsNumber*Distance
P1,Home,1,1,0,-0.0488425925925925925925925926,-0.0476851851851851851851851852,-0.0523148148148148148148148148,-0.0446319339701692642869113458,-0.0331123766054666125537847720,-0.0472662141779788838612368024,-0.0388783641352741281869559687,29.5,66.5,29.5,66.5,272.5,66.5,122.5
P1,Home,1,1,0,-0.0488425925925925925925925926,-0.0476851851851851851851851852,-0.0523148148148148148148148148,-0.0446319339701692642869113458,-0.0331123766054666125537847720,-0.0472662141779788838612368024,-0.0388783641352741281869559687,29.5,66.5,29.5,66.5,272.5,66.5,122.5
P1,Home,1,1,0,-0.0488425925925925925925925926,-0.0476851851851851851851851852,-0.0523148148148148148148148148,-0.0446319339701692642869113458,-0.0331123766054666125537847720,-0.0472662141779788838612368024,-0.0388783641352741281869559687,29.5,66.5,29.5,66.5,272.5,66.5,122.5
P1,Home,1,0,0,0.0011574074074074074074074074,0.0023148148148148148148148148,-0.0023148148148148148148148148,0.0004480901824394410885349930,-0.0000512647856140442631381676,-0.0055441377225168319121944734,-0.0087415765631974538020912409,1957.5,2092,1781.5,2168,2170,1195.5,1284.5
P1,Home,1,0,0,0.0011574074074074074074074074,0.0023148148148148148148148148,-0.0023148148148148148148148148,0.0004480901824394410885349930,-0.0000512647856140442631381676,-0.0055441377225168319121944734,-0.0087415765631974538020912409,1957.5,2092,1781.5,2168,2170,1195.5,1284.5
P1,Home,1,0,0,0.0011574074074074074074074074,0.0023148148148148148148148148,-0.0023148148148148148148148148,0.0004480901824394410885349930,-0.0000512647856140442631381676,-0.0055441377225168319121944734,-0.0087415765631974538020912409,1957.5,2092,1781.5,2168,2170,1195.5,1284.5
P1,Home,1,1,0,-0.0488425925925925925925925926,-0.0476851851851851851851851852,-0.0523148148148148148148148148,-0.0446319339701692642869113458,-0.0331123766054666125537847720,-0.0472662141779788838612368024,-0.0388783641352741281869559687,29.5,66.5,29.5,66.5,272.5,66.5,122.5
P1,Home,1,1,0,-0.0488425925925925925925925926,-0.0476851851851851851851851852,-0.0523148148148148148148148148,-0.0446319339701692642869113458,-0.0331123766054666125537847720,-0.0472662141779788838612368024,-0.0388783641352741281869559687,29.5,66.5,29.5,66.5,272.5,66.5,122.5
P1,Home,1,1,0,-0.0488425925925925925925925926,-0.0476851851851851851851851852,-0.0523148148148148148148148148,-0.0446319339701692642869113458,-0.0331123766054666125537847720,-0.0472662141779788838612368024,-0.0388783641352741281869559687,29.5,66.5,29.5,66.5,272.5,66.5,122.5
P1,Home,1,0,0,0.0011574074074074074074074074,0.0023148148148148148148148148,-0.0023148148148148148148148148,0.0004480901824394410885349930,-0.0000512647856140442631381676,-0.0055441377225168319121944734,-0.0087415765631974538020912409,1957.5,2092,1781.5,2168,2170,1195.5,1284.5
