Participant,Method,AppsNumber,Distance,Rechecks,aligned(Rechecks) for Method,aligned(Rechecks) for AppsNumber,aligned(Rechecks) for Method*AppsNumber,aligned(Rechecks) for Distance,aligned(Rechecks) for Method*Distance,aligned(Rechecks) for AppsNumber*Distance,aligned(Rechecks) for Method*AppsNumber*Distance,ART(Rechecks) for Method,ART(Rechecks) for AppsNumber,ART(Rechecks) for Method*AppsNumber,ART(Rechecks) for Distance,ART(Rechecks) for Method*Distance,ART(Rechecks) for AppsNumber*Distance,ART(Rechecks) for Method*AppsNumber*Distance
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,0,0,-0.3629850088183421516754850088,-0.2642195767195767195767195767,0.0799162257495590828924162258,-0.0784165991126452411460648693,-0.1245375455081660463318892752,-0.1177948041883102986154450414,-0.0621875591273863504145373219,806,940,1905,1448,1067,1154,1753
P1,Home,1,0,0,-0.3629850088183421516754850088,-0.2642195767195767195767195767,0.0799162257495590828924162258,-0.0784165991126452411460648693,-0.1245375455081660463318892752,-0.1177948041883102986154450414,-0.0621875591273863504145373219,806,940,1905,1448,1067,1154,1753
P1,Home,1,0,0,-0.3629850088183421516754850088,-0.2642195767195767195767195767,0.0799162257495590828924162258,-0.0784165991126452411460648693,-0.1245375455081660463318892752,-0.1177948041883102986154450414,-0.0621875591273863504145373219,806,940,1905,1448,1067,1154,1753
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,0,0,-0.3629850088183421516754850088,-0.2642195767195767195767195767,0.0799162257495590828924162258,-0.0784165991126452411460648693,-0.1245375455081660463318892752,-0.1177948041883102986154450414,-0.0621875591273863504145373219,806,940,1905,1448,1067,1154,1753
P1,Home,1,0,0,-0.3629850088183421516754850088,-0.2642195767195767195767195767,0.0799162257495590828924162258,-0.0784165991126452411460648693,-0.1245375455081660463318892752,-0.1177948041883102986154450414,-0.0621875591273863504145373219,806,940,1905,1448,1067,1154,1753
P1,Home,1,0,0,-0.3629850088183421516754850088,-0.2642195767195767195767195767,0.0799162257495590828924162258,-0.0784165991126452411460648693,-0.1245375455081660463318892752,-0.1177948041883102986154450414,-0.0621875591273863504145373219,806,940,1905,1448,1067,1154,1753
P1,Home,1,1,2,1.6822530864197530864197530864,1.7810185185185185185185185185,2.1251543209876543209876543210,1.9320785151667504608681079269,1.9250648732015375058134330518,1.9632918552036199095022624435,1.9323425342058699015939743556,2482,2488,2516,2509,2503,2511,2505
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
P1,Home,1,1,0,-0.3177469135802469135802469136,-0.2189814814814814814814814815,0.1251543209876543209876543210,-0.0679214848332495391318920731,-0.0749351267984624941865669482,-0.0367081447963800904977375565,-0.0676574657941300984060256444,1297.5,1151.5,2037.5,1678.5,1458.5,1800.5,1704.5
