Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio
P1,635134646181616849,Normal,Clipped,Quarter,0,2,29526.6888,.059,.7688,1.2314,0
P1,635134646553778135,Normal,Clipped,Quarter,1,0,29834.7064,.0492,.9007,1.0861,.0003
P1,635134646984062746,Normal,Clipped,Quarter,1,1,32163.8396,.0169,.9386,1.1361,0
P1,635134647400296554,Normal,Clipped,Quarter,1,2,34338.9641,.047,4.272,1.2335,.0005
P1,635134647755336861,Normal,Clipped,Quarter,2,0,31359.7937,.0258,.8905,1.2751,0
P1,635134648113327337,Normal,Clipped,Quarter,2,1,27279.5603,.0239,4.6021,1.2426,0
P1,635134648399573709,Normal,Clipped,Quarter,2,2,20356.1643,.0532,2.1787,1.145,.0071
P1,635134652488817600,Normal,Clipped,Half,0,0,22843.3065,.1175,1.2218,1.1636,0
P1,635134652832857278,Normal,Clipped,Half,0,1,24807.4189,.0786,.4676,1.2583,0
P1,635134653202218404,Normal,Clipped,Half,0,2,28891.6525,.0657,1.2869,1.0907,.0025
P1,635134653571289514,Normal,Clipped,Half,1,0,29234.6721,.0812,.1336,1.1867,0
P1,635134653844615147,Normal,Clipped,Half,1,1,19688.126,.0416,.6412,1.0968,0
P1,635134654263049081,Normal,Clipped,Half,1,2,24222.3855,.0957,.2406,1.0579,.0146
P1,635134654626249854,Normal,Clipped,Half,2,0,23852.3642,.0771,1.2026,1.1584,.0008
P1,635134654995120953,Normal,Clipped,Half,2,1,27477.5717,.0876,.8833,1.1488,.001
P1,635134655272316807,Normal,Clipped,Half,2,2,22099.264,0,2.0298,1.1526,0
P1,635134658952297290,Normal,Clipped,ThreeQuarters,0,0,26707.5276,.138,2.5508,1.1306,.001
P1,635134659367331029,Normal,Clipped,ThreeQuarters,0,1,35545.0331,.1056,.0676,1.0785,.0053
P1,635134659791325280,Normal,Clipped,ThreeQuarters,0,2,30114.7225,.0381,.1542,1.0825,.0016
P1,635134660181967623,Normal,Clipped,ThreeQuarters,1,0,30111.7223,.191,2.8778,1.1921,0
P1,635134661074048647,Normal,Clipped,ThreeQuarters,1,2,30943.7698,.1234,.2888,1.2039,0
P1,635134661456640530,Normal,Clipped,ThreeQuarters,2,0,31199.7845,.1435,2.0757,1.1447,0
P1,635134661889235273,Normal,Clipped,ThreeQuarters,2,1,29851.7074,.1421,1.3219,1.1609,0
P1,635134662247555768,Normal,Clipped,ThreeQuarters,2,2,28575.6344,.0834,.7827,1.1939,0
P2,635135611696471640,Normal,Clipped,Quarter,0,0,16655.9527,.1058,3.5512,1.4799,0
P2,635135611899903275,Normal,Clipped,Quarter,0,1,13978.7995,.0671,.9833,1.4218,0
P2,635135612134466692,Normal,Clipped,Quarter,0,2,19768.1307,.1135,.2332,1.3277,0
P2,635135612360939645,Normal,Clipped,Quarter,1,0,16078.9196,.0631,3.4125,1.3252,0
P2,635135612652066297,Normal,Clipped,Quarter,1,1,20000.144,.1085,1.93,1.3799,0
P2,635135612880339353,Normal,Clipped,Quarter,1,2,17250.9867,.0349,.9959,1.2562,0
P2,635135613088861280,Normal,Clipped,Quarter,2,0,14799.8465,.0383,1.5261,1.3094,0
P2,635135613359616766,Normal,Clipped,Quarter,2,1,21863.2505,.0716,.9144,1.3522,0
P2,635135613572098920,Normal,Clipped,Quarter,2,2,16530.9456,.0629,2.041,1.4125,0
P2,635135615918563130,Normal,Clipped,Half,0,1,20012.1447,.0516,1.5133,1.0496,.0019
P2,635135616171197580,Normal,Clipped,Half,0,2,19650.124,.0746,.52,1.1035,.0001
P2,635135616415791570,Normal,Clipped,Half,1,0,17194.9835,.0278,.1461,1.1233,0
P2,635135616670836157,Normal,Clipped,Half,1,1,16259.93,.0471,.3979,1.1256,0
P2,635135616883588326,Normal,Clipped,Half,1,2,13890.7945,.0307,.4042,1.1024,0
P2,635135617154273808,Normal,Clipped,Half,2,0,20988.2004,.0204,1.04,1.1625,0
P2,635135617439990150,Normal,Clipped,Half,2,1,24199.3841,.0945,2.5284,1.1279,.003
P2,635135617590588764,Normal,Clipped,Half,2,2,10539.6028,0,.5545,.4434,.5566
P2,635135619560371429,Normal,Clipped,ThreeQuarters,0,0,18447.0551,.1206,.3421,1.1832,0
P2,635135619813255893,Normal,Clipped,ThreeQuarters,0,1,19936.1402,.0383,.3753,1.0841,0
