Participant,Method,AppsNumber,Distance,SeenTimeMillis,aligned(SeenTimeMillis) for Method,aligned(SeenTimeMillis) for AppsNumber,aligned(SeenTimeMillis) for Method*AppsNumber,aligned(SeenTimeMillis) for Distance,aligned(SeenTimeMillis) for Method*Distance,aligned(SeenTimeMillis) for AppsNumber*Distance,aligned(SeenTimeMillis) for Method*AppsNumber*Distance,ART(SeenTimeMillis) for Method,ART(SeenTimeMillis) for AppsNumber,ART(SeenTimeMillis) for Method*AppsNumber,ART(SeenTimeMillis) for Distance,ART(SeenTimeMillis) for Method*Distance,ART(SeenTimeMillis) for AppsNumber*Distance,ART(SeenTimeMillis) for Method*AppsNumber*Distance
P1,Home,1,1,15842.0677,6150.732774043209876543209876,4660.892489320987654320987654,7271.479160771604938271604938,5140.325988941818892799284956,6039.617863432121312466221514,5818.265374113736662756270599,5388.249841938249057904148856,2361,2296,2403,2326,2368,2360,2354
P1,Home,1,1,11275.1251,1583.790174043209876543209876,93.949889320987654320987654,2704.536560771604938271604938,573.383388941818892799284956,1472.675263432121312466221514,1251.322774113736662756270599,821.307241938249057904148856,2034,1777,2167,1886,2034,1994,1931
P1,Home,1,1,7650.0529,-2041.282025956790123456790124,-3531.122310679012345679012346,-920.535639228395061728395062,-3051.688811058181107200715044,-2152.396936567878687533778486,-2373.749425886263337243729401,-2803.764958061750942095851144,1138,613,1492,727,1089,980,833
P1,Home,1,0,8305.0967,1144.2221188051146384479717811,-345.6181659171075837742504409,2264.9685055335097001763668431,-1.4492902985524553344432529,-216.2698159448337880518001329,992.1193821675803318250063101,-944.4441732125538767985512839,1967,1659,2125,1747,1688,1957,1513
P1,Home,1,0,6559.0537,-601.8208811948853615520282189,-2091.6611659171075837742504409,518.9255055335097001763668431,-1747.4922902985524553344432529,-1962.3128159448337880518001329,-753.9236178324196681749936899,-2690.4871732125538767985512839,1616,1092,1862,1247,1179,1534,870
P1,Home,1,0,6531.0689,-629.8056811948853615520282189,-2119.6459659171075837742504409,490.9407055335097001763668431,-1775.4770902985524553344432529,-1990.2976159448337880518001329,-781.9084178324196681749936899,-2718.4719732125538767985512839,1609,1086,1857,1237,1165,1527,862
P1,Home,1,1,7566.0567,-2125.278225956790123456790124,-3615.118510679012345679012346,-1004.531839228395061728395062,-3135.685011058181107200715044,-2236.393136567878687533778486,-2457.745625886263337243729401,-2887.761158061750942095851144,1110,597,1474,695,1049,943,797
P1,Home,1,1,7223.0563,-2468.278625956790123456790124,-3958.118910679012345679012346,-1347.532239228395061728395062,-3478.685411058181107200715044,-2579.393536567878687533778486,-2800.746025886263337243729401,-3230.761558061750942095851144,985,511,1363,593,904,817,673
P1,Home,1,1,6593.0435,-3098.291425956790123456790124,-4588.131710679012345679012346,-1977.545039228395061728395062,-4108.698211058181107200715044,-3209.406336567878687533778486,-3430.758825886263337243729401,-3860.774358061750942095851144,758,370,1160,426,669,613,463
P1,Home,1,0,6049.0631,-1111.8114811948853615520282189,-2601.6517659171075837742504409,8.9349055335097001763668431,-2257.4828902985524553344432529,-2472.3034159448337880518001329,-1263.9142178324196681749936899,-3200.4777732125538767985512839,1474,899,1744,1045,953,1373,683
P1,Home,1,0,6136.0502,-1024.8243811948853615520282189,-2514.6646659171075837742504409,95.9220055335097001763668431,-2170.4957902985524553344432529,-2385.3163159448337880518001329,-1176.9271178324196681749936899,-3113.4906732125538767985512839,1500,939,1766,1087,992,1402,716
P1,Home,1,0,6220.0472,-940.8273811948853615520282189,-2430.6676659171075837742504409,179.9190055335097001763668431,-2086.4987902985524553344432529,-2301.3193159448337880518001329,-1092.9301178324196681749936899,-3029.4936732125538767985512839,1523,967,1782,1123,1025,1423,746
P1,Home,1,1,27232.0832,17540.748274043209876543209876,16050.907989320987654320987654,18661.494660771604938271604938,16530.341488941818892799284956,17429.633363432121312466221514,17208.280874113736662756270599,16778.265341938249057904148856,2527,2519,2536,2523,2530,2530,2528
