Participant,Method,AppsNumber,Distance,SeenTimeMillis
P1,Home,1,1,15842.0677
P1,Home,1,1,11275.1251
P1,Home,1,1,7650.0529
P1,Home,1,0,8305.0967
P1,Home,1,0,6559.0537
P1,Home,1,0,6531.0689
P1,Home,1,1,7566.0567
P1,Home,1,1,7223.0563
P1,Home,1,1,6593.0435
P1,Home,1,0,6049.0631
P1,Home,1,0,6136.0502
P1,Home,1,0,6220.0472
P1,Home,1,1,27232.0832
P1,Home,1,1,6743.0464
P1,Home,1,1,6319.047
P1,Home,1,1,7294.0462
P1,Home,1,1,6689.0461
P1,Home,1,1,6268.0497
P1,Home,2,3,17073.0922
P1,Home,2,1,9861.0663
P1,Home,2,1,10595.0597
P1,Home,2,2,9219.0581
P1,Home,2,2,8508.0545
P1,Home,2,0,7559.0644
P1,Home,2,3,15712.0642
P1,Home,2,1,8752.057
P1,Home,2,3,8450.0517
P1,Home,2,0,7139.0705
P1,Home,2,0,7900.1098
P1,Home,2,0,6587.0512
P1,Home,2,3,9299.0557
P1,Home,2,3,7953.0548
P1,Home,2,1,6864.05
P1,Home,2,1,6577.0526
P1,Home,2,1,8305.0495
P1,Home,2,1,6677.0461
P1,Home,3,2,9741.0572
P1,Home,3,0,9663.0898
P1,Home,3,0,6890.0518
P1,Home,3,2,7240.0503
P1,Home,3,1,8563.0752
P1,Home,3,1,8034.0553
P1,Home,3,1,6579.0507
P1,Home,3,2,14782.0632
P1,Home,3,3,11050.0557
P1,Home,3,3,8047.0488
P1,Home,3,2,9481.0546
P1,Home,3,3,9510.0529
P1,Home,3,3,7765.0541
P1,Home,3,3,7565.0502
P1,Home,3,3,9939.0675
P1,Home,3,2,9386.0522
P1,Home,3,3,8481.0505
P1,Home,3,3,7674.0505
P1,RuntimeBar,1,0,11594.072
P1,RuntimeBar,1,0,8658.0578
P1,RuntimeBar,1,0,8992.0799
P1,RuntimeBar,1,3,13103.0749
P1,RuntimeBar,1,3,8179.0563
P1,RuntimeBar,1,3,8564.0499
P1,RuntimeBar,1,1,9010.0748
P1,RuntimeBar,1,1,8703.0589
P1,RuntimeBar,1,1,12336.0603
P1,RuntimeBar,1,0,6674.0473
P1,RuntimeBar,1,0,9516.0524
