Participant,Device,Method,Size,Angle,aligned(Angle) for Device,aligned(Angle) for Method,aligned(Angle) for Device*Method,aligned(Angle) for Size,aligned(Angle) for Device*Size,aligned(Angle) for Method*Size,aligned(Angle) for Device*Method*Size,ART(Angle) for Device,ART(Angle) for Method,ART(Angle) for Device*Method,ART(Angle) for Size,ART(Angle) for Device*Size,ART(Angle) for Method*Size,ART(Angle) for Device*Method*Size
P1,Normal,Normal,Half,2.332,1.0121211403373839922063272317,0.8117247568660152149331951629,0.8379875832030688715548072062,0.6210732636188307576262449229,0.6748934363760418260788260919,0.7508904086368594964277942417,0.7509805846273897504175367226,986.5,956.5,963.5,931.5,940.5,952.5,950.5
P1,Normal,Normal,Half,0.1014,-1.2184788596626160077936727683,-1.4188752431339847850668048371,-1.3926124167969311284451927938,-1.6095267363811692423737550771,-1.5557065636239581739211739081,-1.4797095913631405035722057583,-1.4796194153726102495824632774,115,71,66,22,45,58,60
P1,Normal,Normal,Half,1.2241,-0.0957788596626160077936727683,-0.2961752431339847850668048371,-0.2699124167969311284451927938,-0.4868267363811692423737550771,-0.4330065636239581739211739081,-0.3570095913631405035722057583,-0.3569194153726102495824632774,726,626,654,544,560,601,596
P1,Normal,Normal,Half,0.4529,-0.8669788596626160077936727683,-1.0673752431339847850668048371,-1.0411124167969311284451927938,-1.2580267363811692423737550771,-1.2042065636239581739211739081,-1.1282095913631405035722057583,-1.1281194153726102495824632774,305,180,192,98,134,149,153
P1,Normal,Normal,Half,1.9368,0.6169211403373839922063272317,0.4165247568660152149331951629,0.4427875832030688715548072062,0.2258732636188307576262449229,0.2796934363760418260788260919,0.3556904086368594964277942417,0.3557805846273897504175367226,930,882,890,839,853,871,871
P1,Normal,Normal,Half,0.4939,-0.8259788596626160077936727683,-1.0263752431339847850668048371,-1.0001124167969311284451927938,-1.2170267363811692423737550771,-1.1632065636239581739211739081,-1.0872095913631405035722057583,-1.0871194153726102495824632774,338,204,217,114,152,169,172
P1,Normal,Normal,Half,0.7803,-0.5395788596626160077936727683,-0.7399752431339847850668048371,-0.7137124167969311284451927938,-0.9306267363811692423737550771,-0.8768065636239581739211739081,-0.8008095913631405035722057583,-0.8007194153726102495824632774,522,372,375,273,279,328,325
P1,Normal,Normal,Half,1.6847,0.3648211403373839922063272317,0.1644247568660152149331951629,0.1906875832030688715548072062,-0.0262267363811692423737550771,0.0275934363760418260788260919,0.1035904086368594964277942417,0.1036805846273897504175367226,874,813,825,749,767,792,790
P1,Normal,Normal,Half,1.3322,0.0123211403373839922063272317,-0.1880752431339847850668048371,-0.1618124167969311284451927938,-0.3787267363811692423737550771,-0.3249065636239581739211739081,-0.2489095913631405035722057583,-0.2488194153726102495824632774,772,671,706,602,612,651,653
P1,Normal,Normal,ThreeQuarters,0.2039,-1.0307587710210987948478883940,-1.2311551544924675721210204628,-1.2048923281554139154994084195,-1.5575186655428207277373339738,-1.3133042910509843069669030510,-1.2344699021042262637381444494,-1.3536091821182952321698634238,219,124,126,33,106,115,88
