Participant,Device,Method,Size,Angle
P1,Normal,Normal,Half,2.332
P1,Normal,Normal,Half,0.1014
P1,Normal,Normal,Half,1.2241
P1,Normal,Normal,Half,0.4529
P1,Normal,Normal,Half,1.9368
P1,Normal,Normal,Half,0.4939
P1,Normal,Normal,Half,0.7803
P1,Normal,Normal,Half,1.6847
P1,Normal,Normal,Half,1.3322
P1,Normal,Normal,ThreeQuarters,0.2039
P1,Normal,Normal,ThreeQuarters,1.0464
P1,Normal,Normal,ThreeQuarters,2.3003
P1,Normal,Normal,ThreeQuarters,2.411
P1,Normal,Normal,ThreeQuarters,0.5826
P1,Normal,Normal,ThreeQuarters,0.9392
P1,Normal,Normal,ThreeQuarters,2.6838
P1,Normal,Normal,ThreeQuarters,2.4332
P1,Normal,Normal,ThreeQuarters,1.8856
P1,Normal,Clipped,Quarter,0.2026
P1,Normal,Clipped,Quarter,3.5798
P1,Normal,Clipped,Quarter,0.7688
P1,Normal,Clipped,Quarter,0.9007
P1,Normal,Clipped,Quarter,0.9386
P1,Normal,Clipped,Quarter,4.272
P1,Normal,Clipped,Quarter,0.8905
P1,Normal,Clipped,Quarter,4.6021
P1,Normal,Clipped,Quarter,2.1787
P1,tPad,Clipped,ThreeQuarters,0.4179
P1,tPad,Clipped,ThreeQuarters,0.1488
P1,tPad,Clipped,ThreeQuarters,0.045
P1,tPad,Clipped,ThreeQuarters,0.3351
P1,tPad,Clipped,ThreeQuarters,0.2864
P1,tPad,Clipped,ThreeQuarters,0.2237
P1,tPad,Clipped,ThreeQuarters,0.5419
P1,tPad,Clipped,ThreeQuarters,0.9393
P1,tPad,Clipped,ThreeQuarters,0.8768
P1,Normal,Clipped,Half,1.2218
P1,Normal,Clipped,Half,0.4676
P1,Normal,Clipped,Half,1.2869
P1,Normal,Clipped,Half,0.1336
P1,Normal,Clipped,Half,0.6412
P1,Normal,Clipped,Half,0.2406
P1,Normal,Clipped,Half,1.2026
P1,Normal,Clipped,Half,0.8833
P1,Normal,Clipped,Half,2.0298
P1,tPad,Clipped,Half,0.5815
P1,tPad,Clipped,Half,0.6348
P1,tPad,Clipped,Half,1.6548
P1,tPad,Clipped,Half,0.3996
P1,tPad,Clipped,Half,0.505
P1,tPad,Clipped,Half,1.7265
P1,tPad,Clipped,Half,3.0043
P1,tPad,Clipped,Half,0.1219
P1,tPad,Clipped,Half,0.2024
P1,Normal,Clipped,ThreeQuarters,2.5508
P1,Normal,Clipped,ThreeQuarters,0.0676
P1,Normal,Clipped,ThreeQuarters,0.1542
P1,Normal,Clipped,ThreeQuarters,2.8778
P1,Normal,Clipped,ThreeQuarters,0.414
P1,Normal,Clipped,ThreeQuarters,0.2888
P1,Normal,Clipped,ThreeQuarters,2.0757
P1,Normal,Clipped,ThreeQuarters,1.3219
P1,Normal,Clipped,ThreeQuarters,0.7827
P1,tPad,Clipped,Quarter,0.678
P1,tPad,Clipped,Quarter,0.2453
P1,tPad,Clipped,Quarter,0.7848
P1,tPad,Clipped,Quarter,1.1778
P1,tPad,Clipped,Quarter,0.3772
P1,tPad,Clipped,Quarter,1.3157
P1,tPad,Clipped,Quarter,0.3633
P1,tPad,Clipped,Quarter,2.34
P1,tPad,Clipped,Quarter,1.7308
P1,tPad,Normal,Quarter,1.9599
P1,tPad,Normal,Quarter,1.1782
P1,tPad,Normal,Quarter,1.0828
P1,tPad,Normal,Quarter,1.884
P1,tPad,Normal,Quarter,1.9297
P1,tPad,Normal,Quarter,0.7315
P1,tPad,Normal,Quarter,1.884
P1,tPad,Normal,Quarter,3.1108
P1,tPad,Normal,Quarter,1.0082
P1,tPad,Normal,ThreeQuarters,0.0733
P1,tPad,Normal,ThreeQuarters,0.7515
P1,tPad,Normal,ThreeQuarters,1.9478
P1,tPad,Normal,ThreeQuarters,1.0167
P1,tPad,Normal,ThreeQuarters,0.3255
P1,tPad,Normal,ThreeQuarters,0.722
P1,tPad,Normal,ThreeQuarters,0.2186
P1,tPad,Normal,ThreeQuarters,0.3342
P1,tPad,Normal,ThreeQuarters,0.4989
P1,tPad,Normal,Half,1.2348
P1,tPad,Normal,Half,1.0424
P1,tPad,Normal,Half,0.0189
P1,tPad,Normal,Half,1.2934
P1,tPad,Normal,Half,0.5792
P1,tPad,Normal,Half,1.3329
P1,tPad,Normal,Half,0.4083
P1,tPad,Normal,Half,0.6082
P1,tPad,Normal,Half,1.1828
P1,Normal,Normal,Quarter,0.3673
P1,Normal,Normal,Quarter,0.3794
P1,Normal,Normal,Quarter,0.769
P1,Normal,Normal,Quarter,0
P1,Normal,Normal,Quarter,0
P1,Normal,Normal,Quarter,0
P1,Normal,Normal,Quarter,0.3924
P1,Normal,Normal,Quarter,0.7957
P1,Normal,Normal,Quarter,0.9914
P2,Normal,Normal,Half,0.4357
