Participant,Device,Method,Size,TimeMillis,aligned(TimeMillis) for Device,aligned(TimeMillis) for Method,aligned(TimeMillis) for Device*Method,aligned(TimeMillis) for Size,aligned(TimeMillis) for Device*Size,aligned(TimeMillis) for Method*Size,aligned(TimeMillis) for Device*Method*Size,ART(TimeMillis) for Device,ART(TimeMillis) for Method,ART(TimeMillis) for Device*Method,ART(TimeMillis) for Size,ART(TimeMillis) for Device*Size,ART(TimeMillis) for Method*Size,ART(TimeMillis) for Device*Method*Size
P1,Normal,Normal,Half,25916.4823,18348.911687524996154437778804,12743.376997044098478776544500,15990.747500548108685584354452,17512.413464699233759433429680,14917.862972379677177345527404,15346.244760795886518888375776,18475.304534036148740993149516,1146,1110,1140,1145,1136,1139,1146
P1,Normal,Normal,Half,11891.6802,4324.109587524996154437778804,-1281.4251029559015212234555001,1965.945400548108685584354452,3487.611364699233759433429680,893.060872379677177345527404,1321.442660795886518888375776,4450.502434036148740993149516,998,696,940,986,867,897,1013
P1,Normal,Normal,Half,19208.0987,11640.528087524996154437778804,6034.9933970440984787765444999,9282.363900548108685584354452,10804.029864699233759433429680,8209.479372379677177345527404,8637.861160795886518888375776,11766.920934036148740993149516,1108,1037,1099,1113,1084,1082,1118
P1,Normal,Normal,Half,13038.7458,5471.175187524996154437778804,-134.3595029559015212234555001,3113.011000548108685584354452,4634.676964699233759433429680,2040.126472379677177345527404,2468.508260795886518888375776,5597.568034036148740993149516,1023,770,982,1022,938,959,1042
P1,Normal,Normal,Half,23547.3468,15979.776187524996154437778804,10374.241497044098478776544500,13621.612000548108685584354452,15143.277964699233759433429680,12548.727472379677177345527404,12977.109260795886518888375776,16106.169034036148740993149516,1136,1085,1130,1138,1124,1130,1140
P1,Normal,Normal,Half,16962.9703,9395.399687524996154437778804,3789.8649970440984787765444999,7037.235500548108685584354452,8558.901464699233759433429680,5964.350972379677177345527404,6392.732760795886518888375776,9521.792534036148740993149516,1082,967,1065,1083,1045,1049,1098
P1,Normal,Normal,Half,22847.3068,15279.736187524996154437778804,9674.201497044098478776544500,12921.572000548108685584354452,14443.237964699233759433429680,11848.687472379677177345527404,12277.069260795886518888375776,15406.129034036148740993149516,1132,1080,1125,1135,1119,1124,1137
P1,Normal,Normal,Half,17406.9956,9839.424987524996154437778804,4233.8902970440984787765444999,7481.260800548108685584354452,9002.926764699233759433429680,6408.376272379677177345527404,6836.758060795886518888375776,9965.817834036148740993149516,1091,988,1075,1094,1055,1055,1102
P1,Normal,Normal,Half,13575.7764,6008.205787524996154437778804,402.6710970440984787765444999,3650.041600548108685584354452,5171.707564699233759433429680,2577.157072379677177345527404,3005.538860795886518888375776,6134.598634036148740993149516,1039,795,998,1035,957,981,1054
P1,Normal,Normal,ThreeQuarters,19284.103,12651.607723826789599088366311,7046.0730333458919234271320069,10293.443536849902130234941959,10333.410296360245990412777940,11546.734573628358588474614580,10923.330802713602354365701162,9724.058868114119597359151215,1116,1048,1105,1109,1117,1114,1101
P1,Normal,Normal,ThreeQuarters,20271.1594,13638.664123826789599088366311,8033.129433345891923427132007,11280.499936849902130234941959,11320.466696360245990412777940,12533.790973628358588474614580,11910.387202713602354365701162,10711.115268114119597359151215,1123,1065,1111,1116,1123,1121,1110
P1,Normal,Normal,ThreeQuarters,10394.5945,3762.099223826789599088366311,-1843.4354666541080765728679931,1403.935036849902130234941959,1443.901796360245990412777940,2657.226073628358588474614580,2033.822302713602354365701162,834.550368114119597359151215,978,656,903,909,963,942,876
P1,Normal,Normal,ThreeQuarters,14391.8232,7759.327923826789599088366311,2153.7932333458919234271320069,5401.163736849902130234941959,5441.130496360245990412777940,6654.454773628358588474614580,6031.051002713602354365701162,4831.779068114119597359151215,1066,891,1037,1041,1062,1041,1023
P1,Normal,Normal,ThreeQuarters,12523.7163,5891.221023826789599088366311,285.6863333458919234271320069,3533.056836849902130234941959,3573.023596360245990412777940,4786.347873628358588474614580,4162.944102713602354365701162,2963.672168114119597359151215,1033,787,992,994,1026,1010,976
P1,Normal,Normal,ThreeQuarters,24031.3745,17398.879223826789599088366311,11793.344533345891923427132007,15040.715036849902130234941959,15080.681796360245990412777940,16294.006073628358588474614580,15670.602302713602354365701162,14471.330368114119597359151215,1142,1104,1136,1137,1141,1141,1133
P1,Normal,Normal,ThreeQuarters,16003.9153,9371.420023826789599088366311,3765.8853333458919234271320069,7013.255836849902130234941959,7053.222596360245990412777940,8266.546873628358588474614580,7643.143102713602354365701162,6443.871168114119597359151215,1081,965,1064,1063,1086,1072,1058
P1,Normal,Normal,ThreeQuarters,17126.9796,10494.484323826789599088366311,4888.9496333458919234271320069,8136.320136849902130234941959,8176.286896360245990412777940,9389.611173628358588474614580,8766.207402713602354365701162,7566.935468114119597359151215,1100,1006,1080,1080,1098,1086,1079
P1,Normal,Normal,ThreeQuarters,16339.9346,9707.439323826789599088366311,4101.9046333458919234271320069,7349.275136849902130234941959,7389.241896360245990412777940,8602.566173628358588474614580,7979.162402713602354365701162,6779.890468114119597359151215,1088,982,1071,1068,1091,1078,1066
P1,Normal,Clipped,Quarter,56999.2602,41093.010616817925447367071733,42737.284438344251713914299761,39962.097991158901647107081565,38705.615591939827875413382153,40064.385247401503180928551637,38417.710964214425657356774659,39902.128542908889750947756198,1172,1173,1171,1171,1171,1171,1171
P1,Normal,Clipped,Quarter,50974.9156,35068.666016817925447367071733,36712.939838344251713914299761,33937.753391158901647107081565,32681.270991939827875413382153,34040.040647401503180928551637,32393.366364214425657356774659,33877.783942908889750947756198,1168,1168,1167,1167,1168,1167,1169
P1,Normal,Clipped,Quarter,29526.6888,13620.439216817925447367071733,15264.713038344251713914299761,12489.526591158901647107081565,11233.044191939827875413382153,12591.813847401503180928551637,10945.139564214425657356774659,12429.557142908889750947756198,1122,1128,1121,1114,1125,1115,1120
P1,Normal,Clipped,Quarter,29834.7064,13928.456816817925447367071733,15572.730638344251713914299761,12797.544191158901647107081565,11541.061791939827875413382153,12899.831447401503180928551637,11253.157164214425657356774659,12737.574742908889750947756198,1125,1131,1123,1120,1130,1117,1125
P1,Normal,Clipped,Quarter,32163.8396,16257.590016817925447367071733,17901.863838344251713914299761,15126.677391158901647107081565,13870.194991939827875413382153,15228.964647401503180928551637,13582.290364214425657356774659,15066.707942908889750947756198,1138,1141,1137,1132,1138,1132,1135
P1,Normal,Clipped,Quarter,34338.9641,18432.714516817925447367071733,20076.988338344251713914299761,17301.801891158901647107081565,16045.319491939827875413382153,17404.089147401503180928551637,15757.414864214425657356774659,17241.832442908889750947756198,1147,1146,1144,1141,1144,1142,1144
P1,Normal,Clipped,Quarter,31359.7937,15453.544116817925447367071733,17097.817938344251713914299761,14322.631491158901647107081565,13066.149091939827875413382153,14424.918747401503180928551637,12778.244464214425657356774659,14262.662042908889750947756198,1133,1140,1135,1127,1135,1127,1132
P1,Normal,Clipped,Quarter,27279.5603,11373.310716817925447367071733,13017.584538344251713914299761,10242.398091158901647107081565,8985.915691939827875413382153,10344.685347401503180928551637,8698.011064214425657356774659,10182.428642908889750947756198,1105,1112,1104,1093,1106,1083,1104
P1,Normal,Clipped,Quarter,20356.1643,4449.914716817925447367071733,6094.188538344251713914299761,3319.002091158901647107081565,2062.519691939827875413382153,3421.289347401503180928551637,1774.615064214425657356774659,3259.032642908889750947756198,1000,1038,988,944,991,925,985
P1,tPad,Clipped,ThreeQuarters,51483.9447,39663.140369124835495393871029,45011.067650549638919301505148,40941.066756740399487488170677,41048.596401556769044078688749,40643.603823646136637280389305,41140.451818138693682074574489,40561.690346261575239740950631,1171,1174,1172,1172,1172,1172,1172
P1,tPad,Clipped,ThreeQuarters,19505.1156,7684.311269124835495393871029,13032.238550549638919301505148,8962.237656740399487488170677,9069.767301556769044078688749,8664.774723646136637280389305,9161.622718138693682074574489,8582.861246261575239740950631,1064,1113,1094,1096,1092,1090,1088
P1,tPad,Clipped,ThreeQuarters,15979.914,4159.109669124835495393871029,9507.036950549638919301505148,5437.036056740399487488170677,5544.565701556769044078688749,5139.573123646136637280389305,5636.421118138693682074574489,5057.659646261575239740950631,993,1079,1040,1043,1036,1036,1029
P1,tPad,Clipped,ThreeQuarters,19102.0926,7281.288269124835495393871029,12629.215550549638919301505148,8559.214656740399487488170677,8666.744301556769044078688749,8261.751723646136637280389305,8758.599718138693682074574489,8179.838246261575239740950631,1057,1109,1087,1086,1085,1085,1081
P1,tPad,Clipped,ThreeQuarters,20131.1514,8310.347069124835495393871029,13658.274350549638919301505148,9588.273456740399487488170677,9695.803101556769044078688749,9290.810523646136637280389305,9787.658518138693682074574489,9208.897046261575239740950631,1072,1118,1100,1104,1097,1103,1093
P1,tPad,Clipped,ThreeQuarters,12407.7097,586.905369124835495393871029,5934.832650549638919301505148,1864.831756740399487488170677,1972.361401556769044078688749,1567.368823646136637280389305,2064.216818138693682074574489,1485.455346261575239740950631,829,1033,935,940,906,945,918
P1,tPad,Clipped,ThreeQuarters,17187.9831,5367.178769124835495393871029,10715.106050549638919301505148,6645.105156740399487488170677,6752.634801556769044078688749,6347.642223646136637280389305,6844.490218138693682074574489,6265.728746261575239740950631,1020,1092,1061,1059,1052,1057,1056
P1,tPad,Clipped,ThreeQuarters,17919.025,6098.220669124835495393871029,11446.147950549638919301505148,7376.147056740399487488170677,7483.676701556769044078688749,7078.684123646136637280389305,7575.532118138693682074574489,6996.770646261575239740950631,1041,1099,1073,1071,1070,1071,1071
P1,tPad,Clipped,ThreeQuarters,13764.7873,1943.982969124835495393871029,7291.910250549638919301505148,3221.909356740399487488170677,3329.439001556769044078688749,2924.446423646136637280389305,3421.294418138693682074574489,2842.532946261575239740950631,906,1054,986,979,974,991,972
P1,Normal,Clipped,Half,22843.3065,8410.403811767420396862021228,10054.677633293746663409249256,7279.491186108396596602031060,7573.905588941658001857672104,4979.355096622101419769769828,7843.172461459411516858905437,4489.633084289960374644965763,1074,1084,1070,1074,1033,1077,1016
P1,Normal,Clipped,Half,24807.4189,10374.516211767420396862021228,12018.790033293746663409249256,9243.603586108396596602031060,9538.017988941658001857672104,6943.467496622101419769769828,9807.284861459411516858905437,6453.745484289960374644965763,1099,1106,1098,1102,1069,1104,1059
P1,Normal,Clipped,Half,28891.6525,14458.749811767420396862021228,16103.023633293746663409249256,13327.837186108396596602031060,13622.251588941658001857672104,11027.701096622101419769769828,13891.518461459411516858905437,10537.979084289960374644965763,1129,1135,1129,1130,1112,1134,1106
P1,Normal,Clipped,Half,29234.6721,14801.769411767420396862021228,16446.043233293746663409249256,13670.856786108396596602031060,13965.271188941658001857672104,11370.720696622101419769769828,14234.538061459411516858905437,10880.998684289960374644965763,1130,1137,1131,1133,1115,1135,1113
P1,Normal,Clipped,Half,19688.126,5255.223311767420396862021228,6899.497133293746663409249256,4124.310686108396596602031060,4418.725088941658001857672104,1824.174596622101419769769828,4687.991961459411516858905437,1334.452584289960374644965763,1016,1047,1008,1015,929,1020,912
P1,Normal,Clipped,Half,24222.3855,9789.482811767420396862021228,11433.756633293746663409249256,8658.570186108396596602031060,8952.984588941658001857672104,6358.434096622101419769769828,9222.251461459411516858905437,5868.712084289960374644965763,1090,1097,1090,1092,1053,1092,1046
P1,Normal,Clipped,Half,23852.3642,9419.461511767420396862021228,11063.735333293746663409249256,8288.548886108396596602031060,8582.963288941658001857672104,5988.412796622101419769769828,8852.230161459411516858905437,5498.690784289960374644965763,1083,1093,1082,1085,1046,1087,1036
P1,Normal,Clipped,Half,27477.5717,13044.669011767420396862021228,14688.942833293746663409249256,11913.756386108396596602031060,12208.170788941658001857672104,9613.620296622101419769769828,12477.437661459411516858905437,9123.898284289960374644965763,1118,1124,1116,1123,1099,1125,1091
P1,Normal,Clipped,Half,22099.264,7666.361311767420396862021228,9310.635133293746663409249256,6535.448686108396596602031060,6829.863088941658001857672104,4235.312596622101419769769828,7099.129961459411516858905437,3745.590584289960374644965763,1062,1076,1055,1061,1014,1062,995
P1,tPad,Clipped,Half,71779.1055,51491.699054899246269804645440,56839.626336324049693712279559,52769.625442514810261898945088,54358.854291971961032160702407,54915.685470957695863988395420,54628.121164489714547161935740,55272.518319507035483095892840,1175,1177,1176,1176,1176,1177,1176
P1,tPad,Clipped,Half,13410.7671,-6876.639345100753730195354560,-1528.712063675950306287720441,-5598.712957485189738101054912,-4009.484108028038967839297593,-3452.652929042304136011604580,-3740.217235510285452838064260,-3095.820080492964516904107160,164,677,230,362,441,390,470
P1,tPad,Clipped,Half,17836.0202,-2451.386245100753730195354560,2896.541036324049693712279559,-1173.459857485189738101054912,415.768991971961032160702407,972.600170957695863988395420,685.035864489714547161935740,1329.433019507035483095892840,552,925,687,838,871,860,911
P1,tPad,Clipped,Half,8627.4935,-11659.912945100753730195354560,-6311.985663675950306287720441,-10381.986557485189738101054912,-8792.757708028038967839297593,-8235.926529042304136011604580,-8523.490835510285452838064260,-7879.093680492964516904107160,46,261,56,76,101,87,113
P1,tPad,Clipped,Half,17342.992,-2944.414445100753730195354560,2403.512836324049693712279559,-1666.488057485189738101054912,-77.259208028038967839297593,479.571970957695863988395420,192.007664489714547161935740,836.404819507035483095892840,505,907,619,801,842,821,877
P1,tPad,Clipped,Half,15222.8707,-5064.535745100753730195354560,283.391536324049693712279559,-3786.609357485189738101054912,-2197.380508028038967839297593,-1640.549329042304136011604580,-1928.113635510285452838064260,-1283.716480492964516904107160,274,786,376,574,632,614,689
P1,tPad,Clipped,Half,11979.6852,-8307.721245100753730195354560,-2959.793963675950306287720441,-7029.794857485189738101054912,-5440.566008028038967839297593,-4883.734829042304136011604580,-5171.299135510285452838064260,-4526.901980492964516904107160,116,575,165,254,305,270,328
P1,tPad,Clipped,Half,11816.6759,-8470.730545100753730195354560,-3122.803263675950306287720441,-7192.804157485189738101054912,-5603.575308028038967839297593,-5046.744129042304136011604580,-5334.308435510285452838064260,-4689.911280492964516904107160,112,563,153,242,290,254,312
P1,tPad,Clipped,Half,22115.2649,1827.858454899246269804645440,7175.785736324049693712279559,3105.784842514810261898945088,4695.013691971961032160702407,5251.844870957695863988395420,4964.280564489714547161935740,5608.677719507035483095892840,904,1052,980,1024,1037,1022,1043
P1,Normal,Clipped,ThreeQuarters,26707.5276,9703.245518838127467569091935,11347.519340364453734116319963,8572.332893179103667309101767,7385.048091371583858893503564,8598.372368639696456955340204,7476.903507953508496889389304,9168.488484560463712514292181,1087,1095,1088,1067,1090,1070,1092
P1,Normal,Clipped,ThreeQuarters,35545.0331,18540.751018838127467569091935,20185.024840364453734116319963,17409.838393179103667309101767,16222.553591371583858893503564,17435.877868639696456955340204,16314.409007953508496889389304,18005.993984560463712514292181,1148,1147,1145,1142,1145,1143,1145
P1,Normal,Clipped,ThreeQuarters,30114.7225,13110.440418838127467569091935,14754.714240364453734116319963,11979.527793179103667309101767,10792.242991371583858893503564,12005.567268639696456955340204,10884.098407953508496889389304,12575.683384560463712514292181,1120,1126,1118,1112,1121,1113,1122
P1,Normal,Clipped,ThreeQuarters,30111.7223,13107.440218838127467569091935,14751.714040364453734116319963,11976.527593179103667309101767,10789.242791371583858893503564,12002.567068639696456955340204,10881.098207953508496889389304,12572.683184560463712514292181,1119,1125,1117,1111,1120,1112,1121
P1,Normal,Clipped,ThreeQuarters,40579.321,23575.038918838127467569091935,25219.312740364453734116319963,22444.126293179103667309101767,21256.841491371583858893503564,22470.165768639696456955340204,21348.696907953508496889389304,23040.281884560463712514292181,1154,1154,1152,1150,1153,1151,1153
P1,Normal,Clipped,ThreeQuarters,30943.7698,13939.487718838127467569091935,15583.761540364453734116319963,12808.575093179103667309101767,11621.290291371583858893503564,12834.614568639696456955340204,11713.145707953508496889389304,13404.730684560463712514292181,1126,1132,1124,1121,1128,1120,1127
P1,Normal,Clipped,ThreeQuarters,31199.7845,14195.502418838127467569091935,15839.776240364453734116319963,13064.589793179103667309101767,11877.304991371583858893503564,13090.629268639696456955340204,11969.160407953508496889389304,13660.745384560463712514292181,1127,1134,1127,1122,1131,1122,1129
