Participant,Device,Method,Size,TimeMillis
P1,Normal,Normal,Half,25916.4823
P1,Normal,Normal,Half,11891.6802
P1,Normal,Normal,Half,19208.0987
P1,Normal,Normal,Half,13038.7458
P1,Normal,Normal,Half,23547.3468
P1,Normal,Normal,Half,16962.9703
P1,Normal,Normal,Half,22847.3068
P1,Normal,Normal,Half,17406.9956
P1,Normal,Normal,Half,13575.7764
P1,Normal,Normal,ThreeQuarters,19284.103
P1,Normal,Normal,ThreeQuarters,20271.1594
P1,Normal,Normal,ThreeQuarters,10394.5945
P1,Normal,Normal,ThreeQuarters,14391.8232
P1,Normal,Normal,ThreeQuarters,12523.7163
P1,Normal,Normal,ThreeQuarters,24031.3745
P1,Normal,Normal,ThreeQuarters,16003.9153
P1,Normal,Normal,ThreeQuarters,17126.9796
P1,Normal,Normal,ThreeQuarters,16339.9346
P1,Normal,Clipped,Quarter,56999.2602
P1,Normal,Clipped,Quarter,50974.9156
P1,Normal,Clipped,Quarter,29526.6888
P1,Normal,Clipped,Quarter,29834.7064
P1,Normal,Clipped,Quarter,32163.8396
P1,Normal,Clipped,Quarter,34338.9641
P1,Normal,Clipped,Quarter,31359.7937
P1,Normal,Clipped,Quarter,27279.5603
P1,Normal,Clipped,Quarter,20356.1643
P1,tPad,Clipped,ThreeQuarters,51483.9447
P1,tPad,Clipped,ThreeQuarters,19505.1156
P1,tPad,Clipped,ThreeQuarters,15979.914
P1,tPad,Clipped,ThreeQuarters,19102.0926
P1,tPad,Clipped,ThreeQuarters,20131.1514
P1,tPad,Clipped,ThreeQuarters,12407.7097
P1,tPad,Clipped,ThreeQuarters,17187.9831
P1,tPad,Clipped,ThreeQuarters,17919.025
P1,tPad,Clipped,ThreeQuarters,13764.7873
P1,Normal,Clipped,Half,22843.3065
P1,Normal,Clipped,Half,24807.4189
P1,Normal,Clipped,Half,28891.6525
P1,Normal,Clipped,Half,29234.6721
P1,Normal,Clipped,Half,19688.126
P1,Normal,Clipped,Half,24222.3855
P1,Normal,Clipped,Half,23852.3642
P1,Normal,Clipped,Half,27477.5717
P1,Normal,Clipped,Half,22099.264
P1,tPad,Clipped,Half,71779.1055
P1,tPad,Clipped,Half,13410.7671
P1,tPad,Clipped,Half,17836.0202
P1,tPad,Clipped,Half,8627.4935
P1,tPad,Clipped,Half,17342.992
P1,tPad,Clipped,Half,15222.8707
