Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio,Damaged
P1,635134639606800791,Normal,Normal,Half,0,0,25916.4823,0.0649,2.3320,0.0000,0.0000,0
P1,635134639885706744,Normal,Normal,Half,0,1,11891.6802,0.2296,0.1014,0.0000,0.0000,0
P1,635134640244507266,Normal,Normal,Half,0,2,19208.0987,0.0550,1.2241,0.0000,0.0000,0
P1,635134640464509849,Normal,Normal,Half,1,0,13038.7458,0.0967,0.4529,0.0000,0.0000,0
P1,635134640773267509,Normal,Normal,Half,1,1,23547.3468,0.3234,1.9368,0.0000,0.0000,0
P1,635134641013501250,Normal,Normal,Half,1,2,16962.9703,0.0479,0.4939,0.0000,0.0000,0
P1,635134641306858029,Normal,Normal,Half,2,0,22847.3068,0.0464,0.7803,0.0000,0.0000,0
P1,635134641533661001,Normal,Normal,Half,2,1,17406.9956,0.0131,1.6847,0.0000,0.0000,0
P1,635134641813296995,Normal,Normal,Half,2,2,13575.7764,0.0590,1.3322,0.0000,0.0000,0
P1,635134642157136662,Normal,Normal,ThreeQuarters,0,0,19284.103,0.1297,0.2039,0.0000,0.0000,0
P1,635134642459573960,Normal,Normal,ThreeQuarters,0,1,20271.1594,0.0000,1.0464,0.0000,0.0000,0
P1,635134642653635060,Normal,Normal,ThreeQuarters,0,2,10394.5945,0.1423,2.3003,0.0000,0.0000,0
P1,635134642891688676,Normal,Normal,ThreeQuarters,1,0,14391.8232,0.0685,2.4110,0.0000,0.0000,0
P1,635134643105010877,Normal,Normal,ThreeQuarters,1,1,12523.7163,0.0563,0.5826,0.0000,0.0000,0
P1,635134643423009066,Normal,Normal,ThreeQuarters,1,2,24031.3745,0.1979,0.9392,0.0000,0.0000,0
P1,635134643676883586,Normal,Normal,ThreeQuarters,2,0,16003.9153,0.0000,2.6838,0.0000,0.0000,0
P1,635134643917717361,Normal,Normal,ThreeQuarters,2,1,17126.9796,0.0487,2.4332,0.0000,0.0000,0
P1,635134644165761549,Normal,Normal,ThreeQuarters,2,2,16339.9346,0.1599,1.8856,0.0000,0.0000,0
P1,635134645057672563,Normal,Clipped,Quarter,0,0,56999.2602,0.1230,0.2026,1.5884,0.0000,0
P1,635134645722190571,Normal,Clipped,Quarter,0,1,50974.9156,0.0246,3.5798,1.3551,0.0000,0
P1,635134646181616849,Normal,Clipped,Quarter,0,2,29526.6888,0.0590,0.7688,1.2314,0.0000,0
P1,635134646553778135,Normal,Clipped,Quarter,1,0,29834.7064,0.0492,0.9007,1.0861,0.0003,0
P1,635134646984062746,Normal,Clipped,Quarter,1,1,32163.8396,0.0169,0.9386,1.1361,0.0000,0
P1,635134647400296554,Normal,Clipped,Quarter,1,2,34338.9641,0.0470,4.2720,1.2335,0.0005,0
P1,635134647755336861,Normal,Clipped,Quarter,2,0,31359.7937,0.0258,0.8905,1.2751,0.0000,0
P1,635134648113327337,Normal,Clipped,Quarter,2,1,27279.5603,0.0239,4.6021,1.2426,0.0000,0
P1,635134648399573709,Normal,Clipped,Quarter,2,2,20356.1643,0.0532,2.1787,1.1450,0.0071,0
P1,635134649611323017,tPad,Clipped,ThreeQuarters,0,0,51483.9447,0.1159,0.4179,1.0942,0.0016,0
P1,635134649956042734,tPad,Clipped,ThreeQuarters,0,1,19505.1156,0.1673,0.1488,1.1376,0.0000,0
P1,635134650244439229,tPad,Clipped,ThreeQuarters,0,2,15979.914,0.2259,0.0450,1.1596,0.0000,0
P1,635134650534065795,tPad,Clipped,ThreeQuarters,1,0,19102.0926,0.0661,0.3351,1.1786,0.0000,0
P1,635134650795470746,tPad,Clipped,ThreeQuarters,1,1,20131.1514,0.0578,0.2864,1.2070,0.0000,0
P1,635134650936308802,tPad,Clipped,ThreeQuarters,1,2,12407.7097,0.1177,0.2237,1.2434,0.0000,0
P1,635134651163271783,tPad,Clipped,ThreeQuarters,2,0,17187.9831,0.0819,0.5419,1.1674,0.0000,0
P1,635134651398305227,tPad,Clipped,ThreeQuarters,2,1,17919.025,0.1155,0.9393,1.1569,0.0000,0
