Participant,Device,Method,Size,MissRatio,aligned(MissRatio) for Device,aligned(MissRatio) for Method,aligned(MissRatio) for Device*Method,aligned(MissRatio) for Size,aligned(MissRatio) for Device*Size,aligned(MissRatio) for Method*Size,aligned(MissRatio) for Device*Method*Size,ART(MissRatio) for Device,ART(MissRatio) for Method,ART(MissRatio) for Device*Method,ART(MissRatio) for Size,ART(MissRatio) for Device*Size,ART(MissRatio) for Method*Size,ART(MissRatio) for Device*Method*Size
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,Half,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0013688113691735798269870738,-0.0005704931617183165341603292,-0.0013688113691735798269870738,0.0005704931617183165341603292,715.5,646.5,993.5,1046,617,666,1091
P1,Normal,Normal,ThreeQuarters,0,-0.0002798646362098138747884941,-0.0026795262267343485617597293,0.0002798646362098138747884941,0.0006508633836552618278506603,0.0004921146197288329268024700,-0.0006508633836552618278506603,-0.0004921146197288329268024700,715.5,646.5,993.5,860.5,997.5,853.5,711.5
