Participant,Device,Method,Size,Offset,aligned(Offset) for Device,aligned(Offset) for Method,aligned(Offset) for Device*Method,aligned(Offset) for Size,aligned(Offset) for Device*Size,aligned(Offset) for Method*Size,aligned(Offset) for Device*Method*Size,ART(Offset) for Device,ART(Offset) for Method,ART(Offset) for Device*Method,ART(Offset) for Size,ART(Offset) for Device*Size,ART(Offset) for Method*Size,ART(Offset) for Device*Method*Size
P1,Normal,Normal,Half,0.0649,-0.0522740886017535763728657129,-0.0647932603890899375804532096,-0.0712257255440004190051898154,-0.0767119870010161726053556190,-0.0829748509213547446894195438,-0.0701575056897309495570924228,-0.0753366396903100069885776834,356,235,212,183,148,216,173
P1,Normal,Normal,Half,0.2296,0.1124259113982464236271342871,0.0999067396109100624195467904,0.0934742744559995809948101846,0.0879880129989838273946443810,0.0817251490786452553105804562,0.0945424943102690504429075772,0.0893633603096899930114223166,1076,1073,1065,1047,1034,1067,1058
P1,Normal,Normal,Half,0.055,-0.0621740886017535763728657129,-0.0746932603890899375804532096,-0.0811257255440004190051898154,-0.0866119870010161726053556190,-0.0928748509213547446894195438,-0.0800575056897309495570924228,-0.0852366396903100069885776834,258,180,151,135,104,149,126
P1,Normal,Normal,Half,0.0967,-0.0204740886017535763728657129,-0.0329932603890899375804532096,-0.0394257255440004190051898154,-0.0449119870010161726053556190,-0.0511748509213547446894195438,-0.0383575056897309495570924228,-0.0435366396903100069885776834,620,484,405,390,341,416,376
P1,Normal,Normal,Half,0.3234,0.2062259113982464236271342871,0.1937067396109100624195467904,0.1872742744559995809948101846,0.1817880129989838273946443810,0.1755251490786452553105804562,0.1883424943102690504429075772,0.1831633603096899930114223166,1141,1142,1139,1132,1135,1140,1135
P1,Normal,Normal,Half,0.0479,-0.0692740886017535763728657129,-0.0817932603890899375804532096,-0.0882257255440004190051898154,-0.0937119870010161726053556190,-0.0999748509213547446894195438,-0.0871575056897309495570924228,-0.0923366396903100069885776834,211,135,115,101,81,121,104
P1,Normal,Normal,Half,0.0464,-0.0707740886017535763728657129,-0.0832932603890899375804532096,-0.0897257255440004190051898154,-0.0952119870010161726053556190,-0.1014748509213547446894195438,-0.0886575056897309495570924228,-0.0938366396903100069885776834,203,125,110,95,77,111,98
P1,Normal,Normal,Half,0.0131,-0.1040740886017535763728657129,-0.1165932603890899375804532096,-0.1230257255440004190051898154,-0.1285119870010161726053556190,-0.1347748509213547446894195438,-0.1219575056897309495570924228,-0.1271366396903100069885776834,47,50,34,15,13,34,28
P1,Normal,Normal,Half,0.059,-0.0581740886017535763728657129,-0.0706932603890899375804532096,-0.0771257255440004190051898154,-0.0826119870010161726053556190,-0.0888748509213547446894195438,-0.0760575056897309495570924228,-0.0812366396903100069885776834,298,199,176,152,117,169,146
P1,Normal,Normal,ThreeQuarters,0.1297,-0.0276855295417659449566628681,-0.0402047013291023061642503648,-0.0466371664840127875889869706,-0.0294399576517270498416256211,-0.0324141809580315744202618749,-0.0495618830656361816721507941,-0.0551992844470541736577984445,565,418,357,514,485,339,301
P1,Normal,Normal,ThreeQuarters,0,-0.1573855295417659449566628681,-0.1699047013291023061642503648,-0.1763371664840127875889869706,-0.1591399576517270498416256211,-0.1621141809580315744202618749,-0.1792618830656361816721507941,-0.1848992844470541736577984445,2,3,2,2,2,2,2
