Participant,Device,Method,Size,Offset
P1,Normal,Normal,Half,0.0649
P1,Normal,Normal,Half,0.2296
P1,Normal,Normal,Half,0.055
P1,Normal,Normal,Half,0.0967
P1,Normal,Normal,Half,0.3234
P1,Normal,Normal,Half,0.0479
P1,Normal,Normal,Half,0.0464
P1,Normal,Normal,Half,0.0131
P1,Normal,Normal,Half,0.059
P1,Normal,Normal,ThreeQuarters,0.1297
P1,Normal,Normal,ThreeQuarters,0
P1,Normal,Normal,ThreeQuarters,0.1423
P1,Normal,Normal,ThreeQuarters,0.0685
P1,Normal,Normal,ThreeQuarters,0.0563
P1,Normal,Normal,ThreeQuarters,0.1979
P1,Normal,Normal,ThreeQuarters,0
P1,Normal,Normal,ThreeQuarters,0.0487
P1,Normal,Normal,ThreeQuarters,0.1599
P1,Normal,Clipped,Quarter,0.123
P1,Normal,Clipped,Quarter,0.0246
P1,Normal,Clipped,Quarter,0.059
P1,Normal,Clipped,Quarter,0.0492
P1,Normal,Clipped,Quarter,0.0169
P1,Normal,Clipped,Quarter,0.047
P1,Normal,Clipped,Quarter,0.0258
P1,Normal,Clipped,Quarter,0.0239
P1,Normal,Clipped,Quarter,0.0532
P1,tPad,Clipped,ThreeQuarters,0.1159
P1,tPad,Clipped,ThreeQuarters,0.1673
P1,tPad,Clipped,ThreeQuarters,0.2259
P1,tPad,Clipped,ThreeQuarters,0.0661
P1,tPad,Clipped,ThreeQuarters,0.0578
P1,tPad,Clipped,ThreeQuarters,0.1177
P1,tPad,Clipped,ThreeQuarters,0.0819
P1,tPad,Clipped,ThreeQuarters,0.1155
P1,tPad,Clipped,ThreeQuarters,0.0822
P1,Normal,Clipped,Half,0.1175
P1,Normal,Clipped,Half,0.0786
P1,Normal,Clipped,Half,0.0657
P1,Normal,Clipped,Half,0.0812
P1,Normal,Clipped,Half,0.0416
P1,Normal,Clipped,Half,0.0957
P1,Normal,Clipped,Half,0.0771
P1,Normal,Clipped,Half,0.0876
P1,Normal,Clipped,Half,0
P1,tPad,Clipped,Half,0.0998
P1,tPad,Clipped,Half,0.1593
P1,tPad,Clipped,Half,0.1198
P1,tPad,Clipped,Half,0.0828
P1,tPad,Clipped,Half,0.0757
P1,tPad,Clipped,Half,0.0909
P1,tPad,Clipped,Half,0.0661
P1,tPad,Clipped,Half,0.1048
P1,tPad,Clipped,Half,0.0775
P1,Normal,Clipped,ThreeQuarters,0.138
P1,Normal,Clipped,ThreeQuarters,0.1056
P1,Normal,Clipped,ThreeQuarters,0.0381
P1,Normal,Clipped,ThreeQuarters,0.191
P1,Normal,Clipped,ThreeQuarters,0.1223
P1,Normal,Clipped,ThreeQuarters,0.1234
P1,Normal,Clipped,ThreeQuarters,0.1435
P1,Normal,Clipped,ThreeQuarters,0.1421
P1,Normal,Clipped,ThreeQuarters,0.0834
P1,tPad,Clipped,Quarter,0.2035
P1,tPad,Clipped,Quarter,0.0769
P1,tPad,Clipped,Quarter,0.0916
P1,tPad,Clipped,Quarter,0.1282
P1,tPad,Clipped,Quarter,0.1295
P1,tPad,Clipped,Quarter,0.1258
P1,tPad,Clipped,Quarter,0.2192
P1,tPad,Clipped,Quarter,0.1762
P1,tPad,Clipped,Quarter,0.1953
P1,tPad,Normal,Quarter,0.0654
P1,tPad,Normal,Quarter,0.0916
P1,tPad,Normal,Quarter,0.0916
P1,tPad,Normal,Quarter,0.4283
P1,tPad,Normal,Quarter,0.1445
P1,tPad,Normal,Quarter,0.0925
P1,tPad,Normal,Quarter,0.1772
P1,tPad,Normal,Quarter,0.195
P1,tPad,Normal,Quarter,0.1057
P1,tPad,Normal,ThreeQuarters,0.136
P1,tPad,Normal,ThreeQuarters,0.1468
P1,tPad,Normal,ThreeQuarters,0.0922
P1,tPad,Normal,ThreeQuarters,0.132
P1,tPad,Normal,ThreeQuarters,0.1618
