Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z,direction
1,515,505,427,0,-8,-69,186.61,180,270,0.0
2,515,506,428,0,-8,-69,186.61,180,270,0.0
3,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
4,514,505,428,-1,-8,-69,186.61,180.83,262.88,0.0
5,514,506,428,-1,-8,-69,186.61,180.83,262.88,0.0
6,514,506,427,-1,-8,-69,186.61,180.83,262.88,0.0
7,514,506,427,-1,-8,-69,186.61,180.83,262.88,0.0
8,514,506,427,-1,-8,-69,186.61,180.83,262.88,0.0
9,514,506,427,-1,-8,-69,186.61,180.83,262.88,0.0
10,514,506,428,-1,-8,-69,186.61,180.83,262.88,0.0
11,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
12,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
13,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
14,514,506,427,-1,-8,-69,186.61,180.83,262.88,0.0
15,514,505,428,-1,-8,-69,186.61,180.83,262.88,0.0
16,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
17,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
18,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
19,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
20,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
21,515,505,426,0,-8,-70,186.52,180,270,0.0
22,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
23,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
24,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
25,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
26,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
27,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
28,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
29,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
30,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
31,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
32,514,505,426,-1,-8,-70,186.52,180.82,262.88,0.0
33,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
34,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
35,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
36,514,506,427,-1,-8,-69,186.61,180.83,262.88,0.0
37,515,505,427,0,-8,-69,186.61,180,270,0.0
38,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
39,514,505,427,-1,-8,-69,186.61,180.83,262.88,0.0
40,515,506,427,0,-8,-69,186.61,180,270,0.0
