Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z
1,515,505,427,0,-8,-69,186.61,180,270
2,515,506,428,0,-8,-69,186.61,180,270
3,514,505,427,-1,-8,-69,186.61,180.83,262.88
4,514,505,428,-1,-8,-69,186.61,180.83,262.88
5,514,506,428,-1,-8,-69,186.61,180.83,262.88
6,514,506,427,-1,-8,-69,186.61,180.83,262.88
7,514,506,427,-1,-8,-69,186.61,180.83,262.88
8,514,506,427,-1,-8,-69,186.61,180.83,262.88
9,514,506,427,-1,-8,-69,186.61,180.83,262.88
10,514,506,428,-1,-8,-69,186.61,180.83,262.88
11,514,505,427,-1,-8,-69,186.61,180.83,262.88
12,514,505,427,-1,-8,-69,186.61,180.83,262.88
13,514,505,427,-1,-8,-69,186.61,180.83,262.88
14,514,506,427,-1,-8,-69,186.61,180.83,262.88
15,514,505,428,-1,-8,-69,186.61,180.83,262.88
16,514,505,426,-1,-8,-70,186.52,180.82,262.88
17,514,505,427,-1,-8,-69,186.61,180.83,262.88
18,514,505,427,-1,-8,-69,186.61,180.83,262.88
19,514,505,427,-1,-8,-69,186.61,180.83,262.88
20,514,505,427,-1,-8,-69,186.61,180.83,262.88
21,515,505,426,0,-8,-70,186.52,180,270
22,514,505,427,-1,-8,-69,186.61,180.83,262.88
23,514,505,426,-1,-8,-70,186.52,180.82,262.88
24,514,505,427,-1,-8,-69,186.61,180.83,262.88
25,514,505,426,-1,-8,-70,186.52,180.82,262.88
26,514,505,426,-1,-8,-70,186.52,180.82,262.88
27,514,505,426,-1,-8,-70,186.52,180.82,262.88
28,514,505,426,-1,-8,-70,186.52,180.82,262.88
29,514,505,426,-1,-8,-70,186.52,180.82,262.88
30,514,505,426,-1,-8,-70,186.52,180.82,262.88
31,514,505,426,-1,-8,-70,186.52,180.82,262.88
32,514,505,426,-1,-8,-70,186.52,180.82,262.88
33,514,505,427,-1,-8,-69,186.61,180.83,262.88
34,514,505,427,-1,-8,-69,186.61,180.83,262.88
35,514,505,427,-1,-8,-69,186.61,180.83,262.88
36,514,506,427,-1,-8,-69,186.61,180.83,262.88
37,515,505,427,0,-8,-69,186.61,180,270
38,514,505,427,-1,-8,-69,186.61,180.83,262.88
39,514,505,427,-1,-8,-69,186.61,180.83,262.88
40,515,506,427,0,-8,-69,186.61,180,270
41,515,505,427,0,-8,-69,186.61,180,270
42,515,505,427,0,-8,-69,186.61,180,270
43,515,506,428,0,-8,-69,186.61,180,270
44,515,505,428,0,-8,-69,186.61,180,270
45,515,505,427,0,-8,-69,186.61,180,270
46,515,506,427,0,-8,-69,186.61,180,270
47,515,505,427,0,-8,-69,186.61,180,270
48,514,505,427,-1,-8,-69,186.61,180.83,262.88
49,514,505,427,-1,-8,-69,186.61,180.83,262.88
50,514,505,427,-1,-8,-69,186.61,180.83,262.88
51,514,505,427,-1,-8,-69,186.61,180.83,262.88
52,514,505,427,-1,-8,-69,186.61,180.83,262.88
53,514,505,426,-1,-8,-70,186.52,180.82,262.88
54,514,505,426,-1,-8,-70,186.52,180.82,262.88
55,514,505,426,-1,-8,-70,186.52,180.82,262.88
56,515,505,426,0,-8,-70,186.52,180,270
57,515,505,427,0,-8,-69,186.61,180,270
58,514,506,426,-1,-8,-70,186.52,180.82,262.88
59,514,505,427,-1,-8,-69,186.61,180.83,262.88
60,515,505,427,0,-8,-69,186.61,180,270
61,514,505,427,-1,-8,-69,186.61,180.83,262.88
62,514,505,427,-1,-8,-69,186.61,180.83,262.88
63,514,505,427,-1,-8,-69,186.61,180.83,262.88
64,515,506,428,0,-8,-69,186.61,180,270
65,514,505,427,-1,-,-69,186.61,180.83,262.88
66,514,506,427,-1,-8,-69,186.61,180.83,262.88
67,514,506,428,-1,-8,-69,186.61,180.83,262.88
68,514,506,428,-1,-8,-69,186.61,180.83,262.88
69,514,506,428,-1,-8,-69,186.61,180.83,262.88
70,513,505,428,-2,-8,-69,186.61,181.66,255.96
71,514,506,427,-1,-8,-69,186.61,180.83,262.88
72,514,505,428,-1,-8,-69,186.61,180.83,262.88
73,513,505,427,-2,-8,-69,186.61,181.66,255.96
74,513,506,427,-2,-8,-69,186.61,181.66,255.96
75,514,505,427,-1,-8,-69,186.61,180.83,262.88
76,514,505,427,-1,-8,-69,186.61,180.83,262.88
77,514,505,427,-1,-8,-69,186.61,180.83,262.88
78,514,505,427,-1,-8,-69,186.61,180.83,262.88
