Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z
1,515,511,628,0,-4,88,357.4,360,270
2,514,510,627,-1,-4,87,357.37,359.34,255.96
3,514,510,628,-1,-4,88,357.4,359.35,255.96
4,514,510,627,-1,-4,87,357.37,359.34,255.96
5,514,510,628,-1,-4,88,357.4,359.35,255.96
6,514,510,628,-1,-4,88,357.4,359.35,255.96
7,514,510,627,-1,-4,87,357.37,359.34,255.96
8,514,510,627,-1,-4,87,357.37,359.34,255.96
9,514,510,628,-1,-4,88,357.4,359.35,255.96
10,514,511,628,-1,-4,88,357.4,359.35,255.96
11,514,510,628,-1,-4,88,357.4,359.35,255.96
12,514,511,628,-1,-4,88,357.4,359.35,255.96
13,514,510,627,-1,-4,87,357.37,359.34,255.96
15,514,510,627,-1,-4,87,357.37,359.34,255.96
16,514,510,627,-1,-4,87,357.37,359.34,255.96
17,514,510,627,-1,-4,87,357.37,359.34,255.96
18,515,510,627,0,-4,87,357.37,360,270
19,514,510,628,-1,-4,88,357.4,359.35,255.96
20,514,510,628,-1,-4,88,357.4,359.35,255.96
21,514,510,627,-1,-4,87,357.37,359.34,255.96
22,514,510,628,-1,-4,88,357.4,359.35,255.96
23,514,510,628,-1,-4,88,357.4,359.35,255.96
24,515,510,627,0,-4,87,357.37,360,270
25,515,510,627,0,-4,87,357.37,360,270
26,514,510,627,-1,-4,87,357.37,359.34,255.96
27,514,510,628,-1,-4,88,357.4,359.35,255.96
28,514,510,627,-1,-4,87,357.37,359.34,255.96
29,515,510,627,0,-4,87,357.37,360,270
30,514,510,628,-1,-4,88,357.4,359.35,255.96
31,514,510,628,-1,-4,88,357.4,359.35,255.96
32,514,509,626,-1,-5,86,356.67,359.33,258.69
33,514,510,628,-1,-4,88,357.4,359.35,255.96
34,515,510,628,0,-4,88,357.4,360,270
35,514,510,628,-1,-4,88,357.4,359.35,255.96
36,515,510,627,0,-4,87,357.37,360,270
37,515,510,628,0,-4,88,357.4,360,270
38,514,510,628,-1,-4,88,357.4,359.35,255.96
39,515,511,627,0,-4,87,357.37,360,270
40,515,510,627,0,-4,87,357.37,360,270
41,514,510,628,-1,-4,88,357.4,359.35,255.96
42,515,510,627,0,-4,87,357.37,360,270
43,515,510,628,0,-4,88,357.4,360,270
44,515,510,627,0,-4,87,357.37,360,270
45,515,510,628,0,-4,88,357.4,360,270
46,514,510,628,-1,-4,88,357.4,359.35,255.96
47,515,510,627,0,-4,87,357.37,360,270
48,515,510,627,0,-4,87,357.37,360,270
49,514,510,627,-1,-4,87,357.37,359.34,255.96
50,515,510,627,0,-4,87,357.37,360,270
51,514,510,628,-1,-4,88,357.4,359.35,255.96
52,514,510,628,-1,-4,88,357.4,359.35,255.96
53,514,510,627,-1,-4,87,357.37,359.34,255.96
54,515,510,628,0,-4,88,357.4,360,270
55,515,510,628,0,-4,88,357.4,360,270
56,514,510,627,-1,-4,87,357.37,359.34,255.96
57,515,510,628,0,-4,88,357.4,360,270
58,514,510,627,-1,-4,87,357.37,359.34,255.96
59,514,510,628,-1,-4,88,357.4,359.35,255.96
60,515,510,627,0,-4,87,357.37,360,270
61,515,510,628,0,-4,88,357.4,360,270
62,514,510,627,-1,-4,87,357.37,359.34,255.96
63,514,510,627,-1,-4,87,357.37,359.34,255.96
64,515,510,628,0,-4,88,357.4,360,270
65,514,510,627,-1,-4,87,357.37,359.34,255.96
66,514,510,628,-1,-4,88,357.4,359.35,255.96
67,515,510,627,0,-4,87,357.37,360,270
68,514,510,628,-1,-4,88,357.4,359.35,255.96
69,514,510,628,-1,-4,88,357.4,359.35,255.96
